/bin/bash: /scratch_net/biwidl309/jamliu/conda_envs/updated-sfdg/lib/libtinfo.so.6: no version information available (required by /bin/bash)
133742-20240626
Namespace(dataset='ChestX', foundation_model='CLIP', vision_variant='ViT-B/32', adapter='Adapter', lr=0.005, n_support=5, n_query=16, n_way=5, n_pseudo=75, n_episode=1000, finetune_epoch=50)
self.labels: []
self.data_len: 25848
4215
1093
3955
9547
2139
2705
2194
0
1
2
3
4
5
6
Time to init Dataloader: 572.7087998390198
Batch (8/1000) support accuracy: 0.5899999737739563
Batch (8/1000) support accuracy: 0.6399999856948853
Batch (8/1000) support accuracy: 0.6100000143051147
Batch (8/1000) support accuracy: 0.6800000071525574
Batch (8/1000) support accuracy: 0.6800000071525574
Batch (8/1000) support accuracy: 0.7099999785423279
Batch (8/1000) support accuracy: 0.7799999713897705
Batch (8/1000) support accuracy: 0.7699999809265137
Batch (8/1000) support accuracy: 0.75
Batch (8/1000) support accuracy: 0.75
Batch (8/1000) support accuracy: 0.75
Batch (8/1000) support accuracy: 0.7400000095367432
Batch (8/1000) support accuracy: 0.8199999928474426
Batch (8/1000) support accuracy: 0.8399999737739563
Batch (8/1000) support accuracy: 0.7699999809265137
Batch (8/1000) support accuracy: 0.8700000047683716
Batch (8/1000) support accuracy: 0.8199999928474426
Batch (8/1000) support accuracy: 0.7899999618530273
Batch (8/1000) support accuracy: 0.8399999737739563
Batch (8/1000) support accuracy: 0.7899999618530273
Batch (8/1000) support accuracy: 0.8399999737739563
Batch (8/1000) support accuracy: 0.8299999833106995
Batch (8/1000) support accuracy: 0.8700000047683716
Batch (8/1000) support accuracy: 0.85999995470047
Batch (8/1000) support accuracy: 0.85999995470047
Batch (8/1000) support accuracy: 0.8199999928474426
Batch (8/1000) support accuracy: 0.8999999761581421
Batch (8/1000) support accuracy: 0.8700000047683716
Batch (8/1000) support accuracy: 0.9300000071525574
Batch (8/1000) support accuracy: 0.9300000071525574
Batch (8/1000) support accuracy: 0.9099999666213989
Batch (8/1000) support accuracy: 0.8799999952316284
Batch (8/1000) support accuracy: 0.9099999666213989
Batch (8/1000) support accuracy: 0.9300000071525574
Batch (8/1000) support accuracy: 0.9599999785423279
Batch (8/1000) support accuracy: 0.9399999976158142
Batch (8/1000) support accuracy: 0.8799999952316284
Batch (8/1000) support accuracy: 0.9199999570846558
Batch (8/1000) support accuracy: 0.9099999666213989
Batch (8/1000) average query accuracy: 0.25
Class 3 accuracy: 0.25
Class 1 accuracy: 0.25
Class 4 accuracy: 0.3125
Class 6 accuracy: 0.125
Class 0 accuracy: 0.3125
Batch (9/1000) support accuracy: 0.19999998807907104
Batch (9/1000) support accuracy: 0.20999999344348907
Batch (9/1000) support accuracy: 0.28999999165534973
Batch (9/1000) support accuracy: 0.25999999046325684
Batch (9/1000) support accuracy: 0.4099999964237213
Batch (9/1000) support accuracy: 0.4599999785423279
Batch (9/1000) support accuracy: 0.5
Batch (9/1000) support accuracy: 0.5299999713897705
Batch (9/1000) support accuracy: 0.4699999988079071
Batch (9/1000) support accuracy: 0.5099999904632568
Batch (9/1000) support accuracy: 0.5899999737739563
Batch (9/1000) support accuracy: 0.5899999737739563
Batch (9/1000) support accuracy: 0.550000011920929
Batch (9/1000) support accuracy: 0.6599999666213989
Batch (9/1000) support accuracy: 0.6499999761581421
Batch (9/1000) support accuracy: 0.6499999761581421
Batch (9/1000) support accuracy: 0.6899999976158142
Batch (9/1000) support accuracy: 0.6800000071525574
Batch (9/1000) support accuracy: 0.6800000071525574
Batch (9/1000) support accuracy: 0.6699999570846558
Batch (9/1000) support accuracy: 0.6800000071525574
Batch (9/1000) support accuracy: 0.699999988079071
Batch (9/1000) support accuracy: 0.75
Batch (9/1000) support accuracy: 0.75
Batch (9/1000) support accuracy: 0.7599999904632568
Batch (9/1000) support accuracy: 0.7199999690055847
Batch (9/1000) support accuracy: 0.7599999904632568
Batch (9/1000) support accuracy: 0.75
Batch (9/1000) support accuracy: 0.7599999904632568
